Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 184317, 8,                  0.5,                 -0.5,                  0.1,50,90.30,78.74,0.00
 2014-05-03 184328, 8,                  0.5,                 -0.5,                  0.1,53,90.66,79.40,0.00
 2014-05-03 184339, 8,                  0.5,                 -0.5,                  0.1,50,90.50,79.38,0.00
 2014-05-03 184349, 8,                  0.5,                 -0.5,                  0.1,55,90.38,80.16,0.00
averages: ,                  0.5,                 -0.5,                  0.1,56,90.75,79.69,0.00
standard deviations: ,                  0.5,                 -0.5,                  0.1, 5,0.58,1.13,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 184401, 9,                  0.5,                 -0.5,                  1.0,53,90.46,80.41,0.00
 2014-05-03 184412, 9,                  0.5,                 -0.5,                  1.0,55,90.42,77.99,0.00
 2014-05-03 184424, 9,                  0.5,                 -0.5,                  1.0,60,90.78,80.73,0.00
 2014-05-03 184436, 9,                  0.5,                 -0.5,                  1.0,50,90.62,79.73,0.00
 2014-05-03 184447, 9,                  0.5,                 -0.5,                  1.0,52,90.02,79.80,0.00
 2014-05-03 184458, 9,                  0.5,                 -0.5,                  1.0,58,90.86,80.75,0.00
 2014-05-03 184510, 9,                  0.5,                 -0.5,                  1.0,78,91.47,81.89,0.00
 2014-05-03 184524, 9,                  0.5,                 -0.5,                  1.0,55,90.50,78.99,0.00
 2014-05-03 184535, 9,                  0.5,                 -0.5,                  1.0,77,91.15,81.94,0.00
 2014-05-03 184550, 9,                  0.5,                 -0.5,                  1.0,58,90.58,79.71,0.00
 2014-05-03 184601, 9,                  0.5,                 -0.5,                  1.0,61,91.43,80.58,0.00
 2014-05-03 184613, 9,                  0.5,                 -0.5,                  1.0,53,92.00,79.95,0.00
 2014-05-03 184624, 9,                  0.5,                 -0.5,                  1.0,51,91.19,78.66,0.00
 2014-05-03 184635, 9,                  0.5,                 -0.5,                  1.0,67,92.40,81.64,0.00
 2014-05-03 184648, 9,                  0.5,                 -0.5,                  1.0,58,90.99,80.23,0.00
 2014-05-03 184700, 9,                  0.5,                 -0.5,                  1.0,57,90.02,78.81,0.00
 2014-05-03 184711, 9,                  0.5,                 -0.5,                  1.0,70,90.38,80.51,0.00
 2014-05-03 184725, 9,                  0.5,                 -0.5,                  1.0,56,90.86,81.03,0.00
 2014-05-03 184736, 9,                  0.5,                 -0.5,                  1.0,71,90.91,79.98,0.00
 2014-05-03 184749, 9,                  0.5,                 -0.5,                  1.0,55,90.62,78.50,0.00
averages: ,                  0.5,                 -0.5,                  1.0,59,90.88,80.09,0.00
standard deviations: ,                  0.5,                 -0.5,                  1.0, 8,0.59,1.09,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 184801, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.97,1.00
 2014-05-03 184811, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.11,1.00
 2014-05-03 184821, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.88,1.00
 2014-05-03 184830, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.32,1.00
 2014-05-03 184840, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.43,1.00
 2014-05-03 184850, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.33,1.00
 2014-05-03 184900, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.16,1.00
 2014-05-03 184910, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.79,1.00
 2014-05-03 184920, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.69,1.00
 2014-05-03 184930, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.18,1.00
 2014-05-03 184940, 10,                  0.5,                  0.5,                 0.01,50,100.00,51.24,1.00
 2014-05-03 184950, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.10,1.00
 2014-05-03 185000, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.01,1.00
 2014-05-03 185010, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.77,1.00
 2014-05-03 185020, 10,                  0.5,                  0.5,                 0.01,50,100.00,49.69,1.00
 2014-05-03 185030, 10,                  0.5,                  0.5,                 0.01,50,100.00,50.34,1.00
