Experiment Schelling Stat Mech Experiment
Running at end and mid points for history files.
Experiment started 2014-05-07 115952

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0.25, 0.5, 0.75]
                          setSocialForce :,  	[-0.25, 0, 0.25]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 122632, 8,                 0.25,                 0.25,                  0.1,66,91.55,75.65,0.08
 2014-05-07 122644, 8,                 0.25,                 0.25,                  0.1,52,90.34,77.53,0.04
 2014-05-07 122655, 8,                 0.25,                 0.25,                  0.1,53,90.74,72.76,0.13
 2014-05-07 122705, 8,                 0.25,                 0.25,                  0.1,54,92.72,68.27,0.24
 2014-05-07 122715, 8,                 0.25,                 0.25,                  0.1,50,91.07,71.52,0.16
 2014-05-07 122725, 8,                 0.25,                 0.25,                  0.1,51,90.78,75.84,0.06
 2014-05-07 122736, 8,                 0.25,                 0.25,                  0.1,50,90.91,76.46,0.06
 2014-05-07 122746, 8,                 0.25,                 0.25,                  0.1,51,91.79,79.16,0.05
 2014-05-07 122756, 8,                 0.25,                 0.25,                  0.1,53,91.35,78.32,0.03
 2014-05-07 122806, 8,                 0.25,                 0.25,                  0.1,50,100.00,50.18,1.00
 2014-05-07 122816, 8,                 0.25,                 0.25,                  0.1,53,90.99,74.51,0.06
 2014-05-07 122826, 8,                 0.25,                 0.25,                  0.1,59,90.86,74.31,0.09
 2014-05-07 122837, 8,                 0.25,                 0.25,                  0.1,59,91.27,78.27,0.07
 2014-05-07 122848, 8,                 0.25,                 0.25,                  0.1,57,91.19,78.97,0.03
averages: ,                 0.25,                 0.25,                  0.1,54,91.71,74.13,0.13
standard deviations: ,                 0.25,                 0.25,                  0.1, 4,1.99,6.15,0.21
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0.25
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 122859, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.40,1.00
 2014-05-07 122909, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.22,1.00
 2014-05-07 122918, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.97,1.00
 2014-05-07 122928, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.78,1.00
 2014-05-07 122937, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.04,1.00
 2014-05-07 122947, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.50,1.00
 2014-05-07 122956, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.93,1.00
 2014-05-07 123005, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.37,1.00
 2014-05-07 123015, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.17,1.00
 2014-05-07 123024, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.69,1.00
 2014-05-07 123034, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.30,1.00
 2014-05-07 123043, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.38,1.00
 2014-05-07 123052, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.27,1.00
 2014-05-07 123102, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.82,1.00
 2014-05-07 123111, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.89,1.00
 2014-05-07 123121, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.71,1.00
 2014-05-07 123130, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.93,1.00
 2014-05-07 123140, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.04,1.00
 2014-05-07 123149, 9,                 0.25,                 0.25,                  1.0,50,100.00,49.80,1.00
 2014-05-07 123158, 9,                 0.25,                 0.25,                  1.0,50,100.00,50.28,1.00
averages: ,                 0.25,                 0.25,                  1.0,50,100.00,49.83,1.00
standard deviations: ,                 0.25,                 0.25,                  1.0, 0,0.00,0.43,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 123208, 10,                  0.5,                -0.25,                 0.01,60,90.62,80.17,0.00
 2014-05-07 123219, 10,                  0.5,                -0.25,                 0.01,66,90.78,79.88,0.00
 2014-05-07 123231, 10,                  0.5,                -0.25,                 0.01,53,90.34,80.18,0.00
 2014-05-07 123242, 10,                  0.5,                -0.25,                 0.01,59,90.30,79.44,0.00
 2014-05-07 123253, 10,                  0.5,                -0.25,                 0.01,53,90.30,80.94,0.00
 2014-05-07 123303, 10,                  0.5,                -0.25,                 0.01,57,90.14,79.17,0.00
 2014-05-07 123314, 10,                  0.5,                -0.25,                 0.01,70,90.14,79.04,0.00
 2014-05-07 123327, 10,                  0.5,                -0.25,                 0.01,54,89.89,78.87,0.00
 2014-05-07 123337, 10,                  0.5,                -0.25,                 0.01,59,91.63,81.74,0.00
 2014-05-07 123348, 10,                  0.5,                -0.25,                 0.01,51,89.77,78.41,0.00
 2014-05-07 123359, 10,                  0.5,                -0.25,                 0.01,51,91.11,80.63,0.00
 2014-05-07 123409, 10,                  0.5,                -0.25,                 0.01,54,90.58,79.24,0.00
 2014-05-07 123420, 10,                  0.5,                -0.25,                 0.01,57,90.34,79.52,0.00
 2014-05-07 123430, 10,                  0.5,                -0.25,                 0.01,65,90.66,79.27,0.00
 2014-05-07 123442, 10,                  0.5,                -0.25,                 0.01,56,89.53,79.88,0.00
 2014-05-07 123453, 10,                  0.5,                -0.25,                 0.01,54,89.94,78.47,0.00
 2014-05-07 123504, 10,                  0.5,                -0.25,                 0.01,56,90.42,78.26,0.00
 2014-05-07 123515, 10,                  0.5,                -0.25,                 0.01,60,91.55,80.94,0.00
 2014-05-07 123526, 10,                  0.5,                -0.25,                 0.01,58,90.99,80.27,0.00
 2014-05-07 123537, 10,                  0.5,                -0.25,                 0.01,51,89.29,80.12,0.00
averages: ,                  0.5,                -0.25,                 0.01,57,90.42,79.72,0.00
standard deviations: ,                  0.5,                -0.25,                 0.01, 5,0.59,0.90,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,0.1
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 123547, 11,                  0.5,                -0.25,                  0.1,61,90.26,80.82,0.00
 2014-05-07 123559, 11,                  0.5,                -0.25,                  0.1,51,90.30,78.99,0.00
 2014-05-07 123609, 11,                  0.5,                -0.25,                  0.1,52,90.46,78.12,0.00
 2014-05-07 123619, 11,                  0.5,                -0.25,                  0.1,61,91.23,81.41,0.00
 2014-05-07 123631, 11,                  0.5,                -0.25,                  0.1,59,90.54,80.35,0.00
 2014-05-07 123642, 11,                  0.5,                -0.25,                  0.1,52,90.99,80.32,0.00
 2014-05-07 123652, 11,                  0.5,                -0.25,                  0.1,50,91.35,79.56,0.00
 2014-05-07 123702, 11,                  0.5,                -0.25,                  0.1,51,90.34,78.50,0.00
 2014-05-07 123713, 11,                  0.5,                -0.25,                  0.1,50,90.38,78.97,0.00
 2014-05-07 123723, 11,                  0.5,                -0.25,                  0.1,54,90.58,79.71,0.00
 2014-05-07 123733, 11,                  0.5,                -0.25,                  0.1,60,90.70,80.60,0.00
 2014-05-07 123745, 11,                  0.5,                -0.25,                  0.1,53,91.55,81.68,0.00
 2014-05-07 123755, 11,                  0.5,                -0.25,                  0.1,51,91.03,80.12,0.00
 2014-05-07 123805, 11,                  0.5,                -0.25,                  0.1,50,91.15,78.64,0.00
 2014-05-07 123815, 11,                  0.5,                -0.25,                  0.1,53,90.14,78.48,0.00
 2014-05-07 123826, 11,                  0.5,                -0.25,                  0.1,55,91.35,80.82,0.00
 2014-05-07 123837, 11,                  0.5,                -0.25,                  0.1,57,90.54,79.52,0.00
 2014-05-07 123848, 11,                  0.5,                -0.25,                  0.1,52,90.30,79.47,0.00
 2014-05-07 123858, 11,                  0.5,                -0.25,                  0.1,53,90.18,79.86,0.00
 2014-05-07 123908, 11,                  0.5,                -0.25,                  0.1,62,90.38,80.19,0.00
averages: ,                  0.5,                -0.25,                  0.1,54,90.69,79.81,0.00
standard deviations: ,                  0.5,                -0.25,                  0.1, 4,0.44,0.97,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.25
                    setSocialTemperature :	,1.0
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-07 123920, 12,                  0.5,                -0.25,                  1.0,53,90.58,79.99,0.00
 2014-05-07 123930, 12,                  0.5,                -0.25,                  1.0,50,90.70,80.83,0.00
 2014-05-07 123941, 12,                  0.5,                -0.25,                  1.0,53,90.66,79.09,0.00
 2014-05-07 123951, 12,                  0.5,                -0.25,                  1.0,52,89.94,78.66,0.00
 2014-05-07 124001, 12,                  0.5,                -0.25,                  1.0,51,90.91,81.20,0.00
 2014-05-07 124012, 12,                  0.5,                -0.25,                  1.0,69,91.88,80.37,0.00
